atmo_pres,air_speed,rel_humid,meta_rate,cloth_lvl,oper_temp,sens_desc
1013.25,0.1,100.0,1.0,0.61,26.0,4
1013.25,0.1,100.0,1.0,0.61,28.0,4
1013.25,0.1,0.0,1.0,0.61,31.5,5
1013.25,0.1,0.0,1.0,0.61,32.0,5
1013.25,0.1,0.0,1.0,0.61,34.0,5
1013.25,0.1,10.0,1.0,0.61,31.1,5
1013.25,0.1,10.0,1.0,0.61,32.0,5
1013.25,0.1,10.0,1.0,0.61,34.0,5
1013.25,0.1,20.0,1.0,0.61,30.8,5
1013.25,0.1,20.0,1.0,0.61,32.0,5
1013.25,0.1,30.0,1.0,0.61,30.4,5
1013.25,0.1,30.0,1.0,0.61,32.0,5
1013.25,0.1,40.0,1.0,0.61,30.1,5
1013.25,0.1,40.0,1.0,0.61,32.0,5
1013.25,0.1,50.0,1.0,0.61,29.8,5
1013.25,0.1,50.0,1.0,0.61,30.0,5
1013.25,0.1,50.0,1.0,0.61,32.0,5
1013.25,0.1,60.0,1.0,0.61,29.5,5
1013.25,0.1,60.0,1.0,0.61,30.0,5
1013.25,0.1,60.0,1.0,0.61,32.0,5
1013.25,0.1,70.0,1.0,0.61,29.2,5
1013.25,0.1,70.0,1.0,0.61,30.0,5
1013.25,0.1,80.0,1.0,0.61,28.9,5
1013.25,0.1,80.0,1.0,0.61,30.0,5
1013.25,0.1,90.0,1.0,0.61,28.6,5
1013.25,0.1,90.0,1.0,0.61,30.0,5
1013.25,0.1,100.0,1.0,0.61,28.4,5
1013.25,0.1,100.0,1.0,0.61,30.0,5
1013.25,0.1,0.0,1.0,0.61,34.5,6
1013.25,0.1,0.0,1.0,0.61,36.0,6
1013.25,0.1,10.0,1.0,0.61,34.1,6
1013.25,0.1,10.0,1.0,0.61,36.0,6
1013.25,0.1,20.0,1.0,0.61,33.7,6
1013.25,0.1,20.0,1.0,0.61,34.0,6
1013.25,0.1,20.0,1.0,0.61,36.0,6
1013.25,0.1,30.0,1.0,0.61,33.3,6
1013.25,0.1,30.0,1.0,0.61,34.0,6
1013.25,0.1,30.0,1.0,0.61,36.0,6
1013.25,0.1,40.0,1.0,0.61,32.9,6
1013.25,0.1,40.0,1.0,0.61,34.0,6
1013.25,0.1,40.0,1.0,0.61,36.0,6
1013.25,0.1,50.0,1.0,0.61,32.6,6
1013.25,0.1,50.0,1.0,0.61,34.0,6
1013.25,0.1,50.0,1.0,0.61,36.0,6
1013.25,0.1,60.0,1.0,0.61,32.2,6
1013.25,0.1,60.0,1.0,0.61,34.0,6
1013.25,0.1,60.0,1.0,0.61,36.0,6
1013.25,0.1,70.0,1.0,0.61,31.9,6
1013.25,0.1,70.0,1.0,0.61,32.0,6
1013.25,0.1,70.0,1.0,0.61,34.0,6
1013.25,0.1,70.0,1.0,0.61,36.0,6
1013.25,0.1,80.0,1.0,0.61,31.6,6
1013.25,0.1,80.0,1.0,0.61,32.0,6
1013.25,0.1,80.0,1.0,0.61,34.0,6
1013.25,0.1,80.0,1.0,0.61,36.0,6
1013.25,0.1,90.0,1.0,0.61,31.3,6
1013.25,0.1,90.0,1.0,0.61,32.0,6
1013.25,0.1,90.0,1.0,0.61,34.0,6
1013.25,0.1,90.0,1.0,0.61,36.0,6
1013.25,0.1,100.0,1.0,0.61,30.9,6
1013.25,0.1,100.0,1.0,0.61,32.0,6
1013.25,0.1,100.0,1.0,0.61,34.0,6
1013.25,0.1,100.0,1.0,0.61,36.0,6
